,ws_nazwa_pilkarza,ws_klub,ws_wiek,ws_pozycja1,ws_pozycja2,ws_pozycja3,ws_wystepy,ws_minuty,ws_bramki,ws_asysty,ws_zolte_kartki,ws_czerwone_kartki,ws_strzaly_na_mecz,ws_skutecznosc_podan,ws_wygrane_pojedynki_na_mecz,ws_MotM,ws_srednia_ocena
1729,Cédric Brunner,Schalke, 28, D(CR),,,12,1020,-,-,1,-,0.3,73.5,1.3,-,6.52
1730,Timo Baumgartl,Union Berlin, 26, D(C),,,4,316,-,-,1,-,1,82.9,3,-,6.52
1731,Marcus Ingvartsen,Mainz, 27, AM(CR),FW,,6(3),460,4,-,-,-,1.8,64,1.2,-,6.51
1732,Joe Scally,Borussia M.Gladbach, 20, D(R),M(R),,15,1305,-,-,1,-,0.3,77.1,0.7,-,6.51
1733,Ivan Ordets,Bochum, 30, D(C),,,12(2),1037,-,-,2,-,0.3,73.7,3.9,-,6.51
1734,Danilo Soares,Bochum, 31, D(L),M(L),,10,827,-,-,2,-,0.1,72.8,1.2,-,6.51
1735,Kevin Behrens,Union Berlin, 31, FW,,,3(12),442,2,1,1,-,0.5,63.6,4,1,6.50
1736,Gerrit Holtmann,Bochum, 27, D(L),M(LR),,7(6),733,1,1,-,-,1.8,69.3,0.9,-,6.50
1737,Sebastiaan Bornauw,Wolfsburg, 23, D(C),,,9(1),727,-,-,3,-,0.2,81.2,1.3,-,6.50
1738,Giovanni Reyna,Borussia Dortmund, 20, AM(CLR),,,3(7),363,2,-,1,-,0.9,74.2,0.3,-,6.49
1739,Alexander Hack,Mainz, 29, D(C),,,13,992,-,-,2,1,0.2,74.6,2.3,-,6.49
1740,Paul Wanner,Bayern, 17, Midfielder,,,0(1),11,-,-,-,-,-,71.4,1,-,6.49
1741,Roland Sallai,Freiburg, 25, AM(CLR),FW,,5(3),378,-,-,3,-,1.9,75.7,1.6,-,6.49
1742,Tobias Mohr,Schalke, 27, D(L),M(CL),,8(3),696,-,2,-,-,0.8,67,0.6,-,6.49
1743,Bartol Franjic,Wolfsburg, 23, D(L),DMC,,3(1),218,-,1,-,-,0.3,76.4,1,-,6.49
1744,Jonathan Burkardt,Mainz, 22, AM(CR),FW,,7(4),537,1,2,2,-,1.9,71.9,0.7,1,6.48
1745,Anthony Caci,Mainz, 25, D(CLR),M(L),,6(6),617,1,-,-,-,0.3,74.1,0.5,-,6.48
1746,Josuha Guilavogui,Wolfsburg, 32, D(C),M(C),,4(6),451,1,-,1,-,0.2,78.6,1.7,-,6.48
1747,Rodrigo Zalazar,Schalke, 23, M(C),,,4(4),378,1,-,1,-,1.8,66.7,1,-,6.48
1748,Kristian Pedersen,FC Koln, 28, D(CL),M(L),,3(2),266,-,-,1,-,0.2,75,2,-,6.47
1749,Eric Martel,FC Koln, 20, DMC,,,9(3),768,-,-,1,-,0.8,81.2,2.3,-,6.47
1750,Thomas Ouwejan,Schalke, 26, D(L),M(L),,9(1),743,-,1,1,-,0.5,69.1,-,-,6.46
1751,Adam Hlozek,Leverkusen, 20, AM(CL),FW,,7(6),577,1,2,1,-,0.9,82.6,0.5,1,6.46
1752,András Schäfer,Union Berlin, 23, M(C),,,8(3),707,-,-,-,-,0.5,76.3,0.8,-,6.46
1753,Christian Groß,Werder Bremen, 33, D(C),DMC,,11(2),911,1,-,1,-,0.2,82.8,0.8,-,6.46
1754,Piero Hincapié,Leverkusen, 21, D(CL),,,11(2),1011,1,-,3,2,0.6,83.3,1.6,-,6.45
1755,Genki Haraguchi,Union Berlin, 31, M(CLR),,,4(4),362,-,-,-,-,0.6,78.9,0.9,-,6.45
1756,Lukás Hrádecky,Leverkusen, 33, GK,,,14,1260,-,-,-,1,-,69.9,0.2,-,6.45
1757,Kevin Vogt,Hoffenheim, 31, D(CR),M(C),,14,1193,-,-,6,-,-,89.5,0.3,-,6.45
1758,Linton Maina,FC Koln, 23, M(CLR),FW,,9(5),811,1,3,-,-,1.3,74.9,0.1,1,6.44
1759,Konstantinos Stafylidis,Bochum, 29, D(LR),DMC,M(L),4(4),371,-,2,2,-,0.5,79.7,0.8,-,6.44
1760,Danny da Costa,Mainz, 29, D(R),M(R),,4(4),427,-,1,-,-,0.5,64.8,0.9,-,6.44
1761,Maximilian Bauer,Augsburg, 22, D(C),,,12(2),1038,-,-,6,-,0.6,71.7,3.1,-,6.44
1762,Alexander Schwolow,Schalke, 30, GK,,,15,1350,-,-,1,-,0.1,60.2,0.2,-,6.44
1763,Jakub Kaminski,Wolfsburg, 20, M(LR),,,10(3),804,-,2,-,-,1,72.5,0.2,-,6.43
1764,Marius Bülter,Schalke, 29, D(R),M(CLR),FW,14(1),1177,3,-,3,-,1.9,68.3,1.2,-,6.43
1765,Mads Pedersen,Augsburg, 26, D(L),M(CL),,7(5),692,-,-,1,-,0.1,69.5,0.4,-,6.43
1766,Mattias Svanberg,Wolfsburg, 24, M(CL),,,7(7),626,-,2,2,-,0.3,71.6,0.6,-,6.43
1767,Benno Schmitz,FC Koln, 28, D(CLR),,,13(1),1038,1,-,-,-,0.3,63.2,0.9,-,6.43
1768,Romano Schmid,Werder Bremen, 22, AM(CL),,,10(4),937,-,2,1,-,0.6,75.7,0.6,-,6.43
1769,Fredrik Jensen,Augsburg, 25, AM(C),FW,,6(5),618,1,1,-,-,0.5,58.6,1.5,-,6.42
1770,Carlos Gruezo,Augsburg, 27, DMC,,,12(1),965,-,-,5,-,0.2,72.9,0.7,-,6.42
1771,Charles Aránguiz,Leverkusen, 33, M(C),,,4(6),493,1,-,1,-,0.5,83.2,0.2,-,6.41
1772,Christopher Antwi-Adjei,Bochum, 28, AM(CLR),,,4(6),454,2,2,-,-,1.1,68.1,0.6,-,6.41
1773,Emil Forsberg,RBL, 31, AM(CLR),FW,,6(6),585,2,2,2,-,0.4,85.8,0.3,-,6.41
1774,Tom Rothe,Borussia Dortmund, 18, Defender,,,0(1),13,-,-,-,-,-,100,-,-,6.41
1775,Nadiem Amiri,Leverkusen, 26, M(CLR),,,3(8),418,1,1,3,-,0.7,82.7,-,-,6.41
1776,Karim Adeyemi,Borussia Dortmund, 21, AM(R),FW,,7(4),492,-,-,3,-,1.1,75.4,0.5,-,6.40
1777,Silvan Widmer,Mainz, 29, D(CR),M(R),,11(2),927,1,-,-,-,1.2,74.5,0.7,-,6.40
1778,Ivan Sunjic,Hertha Berlin, 26, DMC,,,10(3),844,-,-,4,-,0.5,76.4,0.5,1,6.40
1779,Hrvoje Smolcic,Eintracht Frankfurt, 22, D(C),,,0(5),107,-,-,-,-,-,74.7,1.6,-,6.40
1780,Alexander Meyer,Borussia Dortmund, 31, GK,,,4,360,-,-,-,-,-,88.4,0.3,-,6.40
1781,Jamie Bynoe-Gittens,Borussia Dortmund, 18, Forward,,,2(2),161,1,-,-,-,1,78.1,0.3,-,6.39
1782,Rubén Vargas,Augsburg, 24, AM(CLR),FW,,5(6),491,1,1,1,-,0.5,54.8,0.7,-,6.39
1783,Elvis Rexhbecaj,Augsburg, 25, M(C),,,14,1223,-,-,5,-,0.5,60.1,1.4,-,6.38
1784,Hugo Novoa,RBL, 19, Forward,,,2(5),182,1,-,-,-,0.4,74.7,0.4,-,6.38
1785,Lee Buchanan,Werder Bremen, 21, D(L),M(L),,1(8),217,1,-,1,-,0.4,75.3,0.6,-,6.38
1786,Daniel-Kofi Kyereh,Freiburg, 26, AM(CLR),FW,,5(4),432,2,-,1,-,1,79.3,0.8,-,6.38
1787,Josko Gvardiol,RBL, 20, D(CL),,,8(5),765,-,-,-,-,0.5,89.1,0.8,-,6.37
1788,Jamie Leweling,Union Berlin, 21, AM(R),FW,,0(6),111,-,1,1,-,0.8,83.3,0.2,-,6.37
1789,Florian Flick,Schalke, 22, DMC,,,5(3),511,-,-,1,-,0.3,70.9,2,-,6.37
1790,Ilia Gruev,Werder Bremen, 22, DMC,,,9(4),718,-,-,1,-,0.2,87.4,0.5,-,6.37
1791,Kevin Trapp,Eintracht Frankfurt, 32, GK,,,15,1350,-,-,2,-,-,59.1,0.1,-,6.37
1792,Cristian Gamboa,Bochum, 33, D(R),M(R),,15,1279,-,-,2,-,0.5,67,0.8,-,6.37
1793,Tanguy Coulibaly,Stuttgart, 21, M(CLR),FW,,0(1),23,-,-,-,-,-,80,-,-,6.36
1794,Leandro Barreiro,Mainz, 23, DMC,,,7(6),666,-,-,2,-,0.7,70.9,0.9,-,6.36
1795,Agustín Rogel,Hertha Berlin, 25, D(C),,,7(1),675,-,-,4,-,0.3,77.8,2.3,-,6.36
1796,Paul Seguin,Union Berlin, 27, D(R),DMC,,2(6),255,-,2,1,-,0.3,77.4,0.5,-,6.36
