,ws_nazwa_pilkarza,ws_klub,ws_wiek,ws_pozycja1,ws_pozycja2,ws_pozycja3,ws_wystepy,ws_minuty,ws_bramki,ws_asysty,ws_zolte_kartki,ws_czerwone_kartki,ws_strzaly_na_mecz,ws_skutecznosc_podan,ws_wygrane_pojedynki_na_mecz,ws_MotM,ws_srednia_ocena
974,Ruan,Sassuolo, 23, D(C),,,4(1),314,-,-,3,1,0.4,83.4,2.4,-,6.03
975,Samuel Di Carmine,Cremonese, 34, FW,,,0(2),26,-,-,-,-,0.5,75,-,-,6.02
976,Mert Çetin,Lecce, 26, D(C),,,1,21,-,-,-,-,-,66.7,-,-,6.01
977,Antonín Barak,Verona, 28, AM(CR),,,0(1),23,-,-,-,-,-,84.6,-,-,6.00
978,Duccio Degli Innocenti,Empoli, 19, Midfielder,,,0(1),1,-,-,-,-,-,-,-,-,6.00
979,Ola Solbakken,Roma, 24, Forward,,,0(1),1,-,-,-,-,-,-,-,-,6.00
980,Stefan Radu,Lazio, 36, D(CL),,,1,1,-,-,1,-,-,-,-,-,6.00
981,Valentin Antov,Monza, 22, D(C),,,1(3),169,-,-,-,-,-,83.3,0.8,-,5.99
982,Jacopo Sala,Spezia, 31, D(LR),M(CR),,1(5),108,-,-,1,-,-,82.9,0.2,-,5.99
983,Emmanuel Ekong,Empoli, 20, Forward,,,0(2),18,-,-,-,-,0.5,75,-,-,5.99
984,Franck Ribéry,Salernitana, 39, AM(CL),FW,,0(1),36,-,-,-,-,-,90.5,-,-,5.98
985,Jacopo Segre,Torino, 25, Midfielder,,,0(1),20,-,-,-,-,-,88.9,1,-,5.98
986,Mikael Ellertsson,Spezia, 20, Midfielder,,,1(10),164,-,-,3,-,0.2,64.9,0.2,-,5.98
987,Ajdin Hrustic,Verona, 26, M(CLR),,,3(3),226,-,-,-,-,0.5,83.9,0.2,-,5.98
988,Juan Cabal,Verona, 22, Defender,,,0(3),53,-,-,1,-,-,65.2,-,-,5.96
989,Andrea Carboni,Monza, 21, D(C),,,1(3),164,-,-,-,-,0.3,83.1,-,-,5.94
990,Julian Kristoffersen,Salernitana, 25, Forward,,,0(1),17,-,-,-,-,-,-,1,-,5.94
991,Junior Sambia,Salernitana, 26, D(R),M(CR),,1(6),138,-,-,1,-,0.3,92.3,0.1,-,5.94
992,Riccardo Marchizza,Sassuolo, 24, D(L),,,0(2),15,-,-,-,-,-,75,0.5,-,5.92
993,Kastriot Dermaku,Lecce, 31, D(C),,,0(1),33,-,-,-,-,-,50,-,-,5.89
994,Andrea Conti,Sampdoria, 28, D(R),M(R),,0(1),22,-,-,-,-,-,42.9,-,-,5.87
995,Brandon Soppy,Udinese, 20, D(R),M(LR),,1,90,-,-,1,-,2,71.4,1,-,5.87
996,Luca Marrone,Monza, 32, D(C),DMC,,2,136,-,-,-,-,0.5,92.9,2,-,5.86
997,Joaquín Sosa,Bologna, 21, Defender,,,1(3),158,-,-,2,-,0.3,81,0.3,-,5.85
998,Manuel De Luca,Sampdoria, 24, Forward,,,0(1),32,-,-,-,-,-,71.4,-,-,5.83
999,Giacomo Raspadori,Sassuolo, 22, AM(CL),FW,,0(1),45,-,-,-,-,-,90.9,-,-,5.81
1000,Robert Lewandowski,Barcelona, 34, FW,,,14(1),1158,13,4,-,1,3.7,80,1.1,7,7.66
1001,Karim Benzema,Real Madrid, 35, FW,,,9,808,8,1,-,-,4.8,85.1,0.3,3,7.57
1002,Mikel Merino,Real Sociedad, 26, M(C),,,15(1),1291,1,7,5,-,1.6,77.5,3.2,4,7.34
1003,Vinícius Júnior,Real Madrid, 22, AM(L),FW,,16,1409,6,3,3,-,2.6,81.3,-,2,7.32
1004,Joselu,Espanyol, 32, FW,,,17,1530,10,2,2,-,2.8,60.6,5.6,3,7.30
1005,Federico Valverde,Real Madrid, 24, M(CLR),,,14(2),1277,6,2,1,-,1.9,89.6,0.8,3,7.30
1006,Ousmane Dembélé,Barcelona, 25, AM(CLR),FW,,12(4),992,5,5,3,-,2.2,83.8,0.1,2,7.25
1007,Rodrygo,Real Madrid, 22, AM(CLR),FW,,10(4),971,4,4,1,-,3.1,88.6,0.6,1,7.22
1008,Brais Méndez,Real Sociedad, 26, AM(CR),FW,,15(1),1294,7,3,5,-,2.2,84.2,0.8,1,7.22
1009,Frenkie de Jong,Barcelona, 25, D(C),DMC,,11(4),1038,2,1,-,-,0.9,90.7,0.6,-,7.21
1010,Aleix García,Girona, 25, DMC,,,17,1517,-,4,1,-,1.3,90.6,0.5,1,7.20
1011,Memphis Depay,Barcelona, 28, AM(CL),FW,,2,116,1,-,-,-,3,83.9,0.5,-,7.20
1012,Pedri,Barcelona, 20, AM(CL),,,14(2),1210,3,-,1,-,0.8,90.4,0.1,2,7.19
1013,Antoine Griezmann,Atletico, 31, AM(CLR),FW,,10(7),1031,5,5,-,-,2.3,82.1,0.5,2,7.18
1014,Gerónimo Rulli,Villarreal, 30, GK,,,14,1260,-,-,1,-,-,83.7,0.2,2,7.14
1015,Gerard Moreno,Villarreal, 30, AM(CR),FW,,8(1),650,4,2,1,-,2.1,72.2,1,1,7.13
1016,Jeremías Ledesma,Cadiz, 29, GK,,,17,1530,-,-,-,-,-,45.3,0.3,3,7.10
1017,Toni Kroos,Real Madrid, 33, M(C),,,12(1),1043,1,2,-,1,1.1,94.8,0.3,1,7.09
1018,José Gayà,Valencia, 27, D(L),M(L),,12,1046,-,2,2,-,0.9,84.2,0.7,2,7.08
1019,Guido Rodríguez,Real Betis, 28, DMC,,,12(1),1090,-,-,2,-,0.6,88.5,1.2,1,7.07
1020,Jules Koundé,Barcelona, 24, D(CR),,,8(1),673,-,2,-,-,0.6,90.7,1.3,1,7.07
1021,Alexander Sørloth,Real Sociedad, 27, AM(R),FW,,13,1047,7,1,2,-,2.2,70.6,1.6,2,7.06
1022,Iago Aspas,Celta Vigo, 35, AM(CR),FW,,15(2),1391,8,3,2,-,2.1,79.3,0.8,1,7.04
1023,Daniel Parejo,Villarreal, 33, M(C),,,17,1500,-,3,2,-,0.8,90,0.2,3,7.04
1024,Enes Ünal,Getafe, 25, FW,,,17,1478,5,3,3,-,2.4,65.8,4.3,2,7.04
1025,Ronald Araújo,Barcelona, 23, D(CR),,,7,601,-,-,4,-,0.4,87.3,1.9,-,7.02
1026,Isi Palazón,Rayo Vallecano, 28, AM(R),,,15(1),1267,5,3,3,-,2.6,82,0.8,-,7.00
1027,Aurélien Tchouaméni,Real Madrid, 22, DMC,,,12(2),970,-,2,1,-,1,93.2,1.5,1,7.00
1028,Jordi Masip,Real Valladolid, 34, GK,,,12,1080,-,-,2,-,-,64.8,0.4,1,7.00
1029,Juan Foyth,Villarreal, 25, D(CR),DMC,,5(2),461,1,-,1,-,0.3,87.1,0.9,-,6.98
1030,Alejandro Balde,Barcelona, 19, D(LR),,,13(1),1062,-,3,2,-,0.4,91.4,0.4,-,6.98
1031,Vedat Muriqi,Mallorca, 28, FW,,,15,1307,8,1,4,1,2.6,60.5,5.1,3,6.97
1032,Sergi Darder,Espanyol, 29, M(CL),,,17,1505,2,1,2,-,1.2,78.2,0.1,2,6.96
1033,Samuel Lino,Valencia, 23, AM(LR),FW,,16,1380,2,-,3,-,2.8,81.9,0.5,1,6.93
1034,Claudio Bravo,Real Betis, 39, GK,,,2,180,-,-,1,-,-,42.9,-,-,6.93
1035,Álvaro García,Rayo Vallecano, 30, AM(L),,,16,1373,3,2,3,-,1.4,72.1,0.3,2,6.91
1036,Sergio Busquets,Barcelona, 34, DMC,,,12(2),1029,-,1,4,1,0.3,89.2,2.2,-,6.90
1037,Andreas Christensen,Barcelona, 26, D(C),DMC,,6(1),500,-,1,2,-,0.4,93.8,1.7,-,6.90
1038,Yeray Álvarez,Athletic Bilbao, 27, D(C),,,15,1298,-,1,2,1,0.3,81.9,2.1,1,6.90
1039,Álvaro Morata,Atletico, 30, AM(L),FW,,13(4),991,6,1,3,-,2.1,64.3,1.8,2,6.90
1040,Félix Garreta,Real Betis, 18, Defender,,,1,90,-,-,-,-,-,87.2,1,-,6.90
1041,Marcos Llorente,Atletico, 27, D(R),M(CR),FW,11,934,1,-,1,-,1.1,84.7,0.7,1,6.89
1042,Éder Militão,Real Madrid, 25, D(CR),,,11(2),1002,3,-,1,-,0.8,87.2,1.8,1,6.89
1043,Raphinha,Barcelona, 26, AM(LR),FW,,7(8),649,2,2,2,-,2.1,80.4,0.1,1,6.88
1044,Marc-André ter Stegen,Barcelona, 30, GK,,,16,1440,-,-,-,-,-,83.4,0.3,-,6.87
1045,Marko Dmitrovic,Sevilla, 30, GK,,,2(1),225,-,-,1,-,-,68.6,0.3,-,6.86
1046,Diego Rico,Real Sociedad, 29, D(CL),M(L),,9(1),863,-,-,1,-,0.4,80.6,1.1,-,6.86
1047,Vinicius Souza,Espanyol, 23, DMC,,,16,1364,-,-,4,1,0.3,81.3,2.5,1,6.86
1048,André Almeida,Valencia, 22, M(C),,,9(4),843,2,2,-,-,0.7,86.2,0.6,-,6.85
1049,Umar Sadiq,Almeria, 25, FW,,,3,242,2,-,1,-,2.3,61.8,1.3,-,6.85
1050,Cenk Özkacar,Valencia, 22, D(C),,,1(2),237,-,-,-,-,-,87.9,4.3,-,6.85
1051,Gerard Piqué,Barcelona, 35, D(C),,,5(2),383,-,-,3,1,0.4,92.2,2.9,-,6.85
1052,Lee Kang-In,Mallorca, 21, AM(CLR),FW,,15(2),1293,2,3,5,-,1.3,79.8,0.2,2,6.85
1053,Eray Cömert,Valencia, 24, D(C),,,12(1),1052,1,-,4,1,0.6,87.4,2.9,-,6.84
1054,David García,Osasuna, 28, D(C),,,15,1312,1,-,6,1,0.5,81,2.7,-,6.84
1055,Álex Moreno,Real Betis, 29, D(L),M(L),,15,1350,-,3,1,-,0.9,77.4,0.6,-,6.84
1056,Dani Vivian,Athletic Bilbao, 23, D(C),,,10(1),904,1,-,3,-,0.5,81.4,1.5,-,6.83
1057,Luka Modric,Real Madrid, 37, M(C),,,12(3),1006,3,2,3,-,1.3,90.2,0.5,-,6.83
1058,Alfonso Pedraza,Villarreal, 26, D(L),M(L),,10(2),838,-,1,1,-,1.3,80.4,0.8,-,6.83
1059,Nico Williams,Athletic Bilbao, 20, AM(LR),,,16(1),1332,3,3,-,-,1.7,79.1,0.5,2,6.83
1060,Takefusa Kubo,Real Sociedad, 21, AM(CLR),FW,,13(2),1078,3,2,1,-,1.7,77.5,0.6,2,6.83
1061,Reinildo,Atletico, 28, D(CL),M(L),,16,1387,-,-,2,-,0.3,86.6,1.3,1,6.82
1062,Lucas Robertone,Almeria, 25, AM(C),,,16(1),1255,1,2,3,-,1.1,82.5,0.6,2,6.82
1063,Aitor Fernández,Osasuna, 31, GK,,,7,630,-,-,1,-,-,58.3,0.3,2,6.82
1064,Jordi Alba,Barcelona, 33, D(L),M(L),,8(3),761,-,1,2,1,0.5,87.7,0.4,-,6.82
1065,Iñaki Williams,Athletic Bilbao, 28, AM(CLR),FW,,17,1375,5,1,-,-,2.2,69.3,0.9,1,6.82
1066,Luiz Henrique,Real Betis, 22, AM(LR),,,11(3),920,1,1,2,-,1.6,75.8,1,2,6.82
1067,Andriy Lunin,Real Madrid, 23, GK,,,4,360,-,-,-,-,-,88.8,-,-,6.81
1068,Pepe Reina,Villarreal, 40, GK,,,3,270,-,-,1,-,-,82.7,-,-,6.81
1069,Raúl Albiol,Villarreal, 37, D(C),,,15,1340,-,-,5,-,0.1,88.6,1.9,-,6.80
1070,Moi Gómez,Osasuna, 28, M(CLR),,,17,1414,1,2,2,-,0.6,87.4,0.3,1,6.80
1071,Álex Sola,Real Sociedad, 23, D(R),,,3(2),275,-,-,1,-,0.8,80.5,1.2,-,6.80
1072,Anuar Tuhami,Real Valladolid, 28, AM(C),,,3,212,1,-,1,-,1,76.3,0.7,1,6.80
1073,Alex Berenguer,Athletic Bilbao, 27, D(LR),M(CLR),FW,12(4),1109,3,1,-,-,1.6,74.9,1.1,-,6.80
1074,Edgar González,Real Betis, 25, D(C),DMC,,10(2),934,-,-,2,1,0.3,89,2.4,-,6.80
1075,El Bilal Touré,Almeria, 21, FW,,,10(1),796,4,1,-,-,1.8,71.9,2.7,1,6.79
1076,William Carvalho,Real Betis, 30, DMC,,,14(1),1111,2,-,4,-,0.8,86.1,0.7,2,6.79
1077,Fernando Martínez,Almeria, 32, GK,,,16,1440,-,-,1,-,-,68.3,-,1,6.79
1078,Mikel Vesga,Athletic Bilbao, 29, DMC,,,13(3),1194,2,2,3,-,0.8,82.1,2,-,6.79
1079,Chimy Avila,Osasuna, 28, AM(LR),FW,,13(2),991,6,1,4,1,2.5,60.7,1.4,3,6.79
1080,Iker Muniain,Athletic Bilbao, 30, AM(CLR),,,10(4),857,-,1,1,-,1.4,87,0.1,1,6.79
1081,José Giménez,Atletico, 28, D(CR),,,10(1),914,-,-,5,-,1.1,87,1.9,1,6.79
1082,Yuri Berchiche,Athletic Bilbao, 32, D(L),M(L),,8(1),711,-,1,3,-,1.2,83.2,1.2,1,6.78
1083,Martín Zubimendi,Real Sociedad, 23, DMC,,,16(1),1421,1,2,5,-,0.3,84.6,2.2,1,6.78
1084,Antonio Raíllo,Mallorca, 31, D(C),,,16,1440,1,-,5,-,0.4,87,1.9,1,6.78
1085,Eric García,Barcelona, 22, D(C),,,8(1),610,1,-,2,-,0.3,91.4,0.9,-,6.78
1086,Javi Galán,Celta Vigo, 28, D(L),M(L),,17,1526,-,1,2,-,0.4,81,0.9,2,6.78
1087,Borja Iglesias,Real Betis, 30, FW,,,14(1),1099,8,2,-,1,2.2,72.5,0.7,1,6.78
1088,Gavi,Barcelona, 18, AM(CL),,,11(5),928,-,2,3,-,0.5,90.4,0.9,-,6.78
1089,Copete,Mallorca, 23, D(C),,,15,1232,-,-,4,-,0.3,78.4,0.9,1,6.77
1090,Etienne Capoue,Villarreal, 34, D(C),M(CL),,11(1),956,-,-,1,-,1,87.2,1.3,-,6.76
1091,Lucas Rosa,Real Valladolid, 22, Defender,,,6(1),503,-,-,1,-,0.3,68.6,1.1,-,6.76
1092,Stefan Savic,Atletico, 32, D(C),,,12,1066,-,-,3,1,-,88.4,2.2,-,6.76
1093,David López,Girona, 33, D(C),DMC,,11,935,2,1,3,-,0.7,90.7,1.8,2,6.76
1094,Sergio Camello,Rayo Vallecano, 21, FW,,,14(3),1195,4,3,1,-,2.1,82.6,0.8,1,6.76
1095,Giovani Lo Celso,Villarreal, 26, M(CR),FW,,8,529,1,-,1,-,1.6,84.9,0.1,1,6.75
1096,Pau Torres,Villarreal, 26, D(C),,,16,1440,-,-,6,-,0.3,86.2,1.4,-,6.75
1097,Marcos Alonso,Barcelona, 32, D(CL),M(L),,5(4),546,1,-,1,-,0.2,92.2,1,-,6.75
1098,Oriol Romeu,Girona, 31, DMC,,,13,1170,1,-,5,-,1,89.4,0.9,-,6.75
1099,Alexander Isak,Real Sociedad, 23, FW,,,2,154,1,-,-,-,1.5,63,-,-,6.74
1100,Sergio Escudero,Real Valladolid, 33, D(L),M(L),,10,770,-,-,2,-,1.2,74.1,1.3,1,6.74
1101,Óscar De Marcos,Athletic Bilbao, 33, D(LR),M(CR),,16(1),1349,-,3,2,-,0.1,79.7,0.8,-,6.74
1102,Rui Silva,Real Betis, 28, GK,,,14,1260,-,-,2,-,-,64.5,0.2,1,6.74
1103,Iván Fresneda,Real Valladolid, 18, D(R),,,7(2),737,-,-,1,-,0.1,82,0.3,-,6.73
1104,Alejandro Catena,Rayo Vallecano, 28, D(C),,,16,1440,1,1,5,-,0.3,82.7,2.1,-,6.73
1105,Yeremy Pino,Villarreal, 20, AM(LR),,,11(5),897,2,-,2,-,1.1,78.7,0.7,-,6.73
1106,Robin Le Normand,Real Sociedad, 26, D(C),,,12(2),1085,-,-,4,-,0.1,90.7,2.6,-,6.73
1107,Nemanja Gudelj,Sevilla, 31, D(C),M(C),,15,1306,2,-,4,-,1.3,92.4,1.3,2,6.73
1108,João Félix,Atletico, 23, AM(CL),FW,,7(7),651,4,3,5,-,1.9,77.3,0.5,1,6.72
1109,Óscar Valentín,Rayo Vallecano, 28, DMC,,,13(3),1140,-,-,6,-,0.6,83.4,0.9,-,6.71
1110,Thierry Correia,Valencia, 23, D(R),M(R),,16,1386,-,-,3,-,0.3,80.1,1.1,-,6.71
1111,Carlos García,Cadiz, 22, Defender,,,0(1),24,-,1,-,-,-,83.3,1,-,6.71
1112,Héctor Bellerín,Barcelona, 27, D(R),M(R),,1(2),141,-,-,-,-,-,80,1,-,6.71
1113,Edinson Cavani,Valencia, 35, AM(LR),FW,,9,606,5,1,2,-,2.2,76.2,0.3,-,6.70
1114,Brian Oliván,Espanyol, 28, D(CL),,,16,1386,-,4,5,-,0.6,71.9,0.7,-,6.70
1115,Lucas Torró,Osasuna, 28, DMC,,,17,1373,-,-,6,-,1,82.1,1.8,-,6.69
1116,Íñigo Martínez,Athletic Bilbao, 31, D(C),,,9,810,-,-,1,-,0.8,85.7,1.8,-,6.69
1117,David Silva,Real Sociedad, 37, M(CLR),FW,,14(1),1065,1,1,2,-,1,85.6,0.3,-,6.69
1118,Giovanni González,Mallorca, 28, D(R),,,5(2),407,-,2,3,-,0.4,76.4,1,-,6.69
1119,Franco Cervi,Celta Vigo, 28, AM(CL),,,15(1),1226,-,2,-,1,1,78.6,0.3,-,6.69
1120,David Soria,Getafe, 29, GK,,,17,1530,-,-,1,-,-,51.9,0.2,4,6.69
1121,Adrián Embarba,Almeria, 30, AM(CLR),FW,,6(6),560,1,3,3,1,1.3,74,0.2,-,6.69
1122,Thibaut Courtois,Real Madrid, 30, GK,,,12,1080,-,-,-,-,-,81.4,0.3,-,6.68
1123,Luis Milla,Getafe, 28, DMC,,,10(1),921,-,-,-,1,0.4,83.9,0.8,-,6.68
1124,Santi Comesaña,Rayo Vallecano, 26, M(C),,,10(5),917,1,-,2,-,0.8,84.7,0.7,-,6.68
1125,Samuel Chukwueze,Villarreal, 23, AM(CR),,,8(8),742,1,2,1,-,1.1,76.1,0.4,-,6.68
1126,Oihan Sancet,Athletic Bilbao, 22, M(C),FW,,16(1),1145,4,-,2,-,1.3,86.4,0.7,-,6.68
1127,Domingos Duarte,Getafe, 27, D(C),,,16,1396,-,2,6,-,0.6,80.4,1.7,1,6.68
1128,Gonzalo Melero,Almeria, 29, M(C),FW,,10(1),787,2,2,2,-,0.9,89.6,0.3,-,6.68
1129,Igor Zubeldia,Real Sociedad, 25, D(C),DMC,,11(2),989,1,1,4,-,0.3,88,1.6,1,6.67
1130,Geoffrey Kondogbia,Atletico, 29, D(C),DMC,,10(4),926,-,2,4,-,0.8,89.4,0.9,-,6.67
1131,Florian Lejeune,Rayo Vallecano, 31, D(C),,,15,1221,3,-,2,1,1.3,81.5,1.6,1,6.67
1132,Santiago Bueno,Girona, 24, D(C),,,17,1530,-,1,2,-,0.5,86.9,2.6,-,6.67
1133,César Montes,Espanyol, 25, Defender,,,1(1),96,-,-,2,-,-,74.1,3,-,6.67
1134,Juanmi,Real Betis, 29, AM(CLR),FW,,4(2),329,2,-,2,-,1.2,89.4,0.7,1,6.67
1135,Germán Pezzella,Real Betis, 31, D(C),,,11(2),1002,-,-,2,2,0.5,87.5,1.4,-,6.67
1136,Óscar Trejo,Rayo Vallecano, 34, M(CLR),FW,,13(2),1004,2,2,7,-,0.6,84.6,0.4,-,6.67
1137,Damián Suárez,Getafe, 34, D(R),M(R),,10,743,1,-,2,-,0.2,70,0.9,-,6.66
1138,Fran García,Rayo Vallecano, 23, D(L),,,17,1519,-,2,-,-,0.8,85,0.2,-,6.66
1139,Álex Collado,Elche, 23, AM(CR),,,8(1),542,1,1,1,-,1.2,83.5,0.6,1,6.66
1140,Óliver Torres,Sevilla, 28, M(CLR),,,15,1120,3,1,1,-,0.7,79.8,0.2,2,6.66
1141,Edgar Badia,Elche, 30, GK,,,17,1530,-,-,2,-,-,69.1,0.1,2,6.65
1142,Roque Mesa,Real Valladolid, 33, DMC,,,13(1),986,2,1,4,-,1.1,84.2,0.4,1,6.65
1143,Paulo Gazzaniga,Girona, 31, GK,,,7,630,-,-,1,-,-,71.3,-,1,6.65
1144,Íñigo Lekue,Athletic Bilbao, 29, D(LR),M(LR),,10(2),949,-,1,1,-,0.8,82.8,1,-,6.65
1145,Léo Baptistão,Almeria, 30, AM(CLR),FW,,10(3),724,2,2,4,-,1.5,70.7,0.8,2,6.65
1146,Predrag Rajkovic,Mallorca, 27, GK,,,17,1530,-,-,1,-,-,58.2,-,1,6.65
1147,Giorgi Mamardashvili,Valencia, 22, GK,,,16,1440,-,-,1,-,-,75.7,0.2,-,6.65
1148,Marcos Acuña,Sevilla, 31, D(CL),M(CL),,10(3),824,1,-,5,1,1.1,77.1,1,-,6.65
1149,Gorka Guruzeta,Athletic Bilbao, 26, Forward,,,4(6),391,5,-,1,-,1.8,79.1,0.7,2,6.64
1150,Arnau Martinez,Girona, 19, D(R),,,13(1),1084,2,1,4,-,1,82.5,1.1,-,6.64
1151,Youssouf Sabaly,Real Betis, 29, D(LR),M(R),,8(2),715,-,-,-,-,0.3,83.1,0.3,-,6.64
1152,Mouctar Diakhaby,Valencia, 26, D(C),,,12,974,2,-,3,1,0.5,84.8,1.1,1,6.64
1153,Óscar Rodríguez,Celta Vigo, 24, AM(CLR),,,13(3),1105,2,-,2,-,1.8,84.8,0.5,-,6.63
1154,Gabri Veiga,Celta Vigo, 20, M(C),,,9(7),805,4,2,3,1,1.6,78.5,0.5,1,6.63
1155,Ferland Mendy,Real Madrid, 27, D(L),M(L),,13,1044,-,1,2,-,0.1,92.6,0.5,-,6.63
1156,Samu Castillejo,Valencia, 28, AM(CLR),,,10(2),764,2,-,4,-,1.8,86.3,0.4,-,6.63
1157,Axel Witsel,Atletico, 34, D(C),M(C),,13(2),1158,-,-,2,-,0.3,93.6,1.4,-,6.62
1158,Carlos Soler,Valencia, 26, M(CLR),,,3,243,1,-,-,-,1.7,84.1,0.3,1,6.62
1159,Álex Remiro,Real Sociedad, 27, GK,,,17,1530,-,-,-,-,-,69.5,0.2,-,6.62
1160,Federico Fernández,Elche, 33, D(C),,,1,90,-,-,-,-,-,57.1,1,-,6.62
1161,Valentín Castellanos,Girona, 24, AM(R),FW,,16,1272,4,-,5,-,2.3,65.6,1.3,-,6.62
1162,Íñigo Ruíz de Galarreta,Mallorca, 29, DMC,,,11(2),948,-,-,5,-,0.5,86.7,0.3,-,6.61
1163,Ansu Fati,Barcelona, 20, AM(L),FW,,5(11),581,3,3,1,-,2.1,85.8,0.2,-,6.61
1164,Javi Sánchez,Real Valladolid, 25, D(C),,,14,1187,1,-,5,-,0.4,83.5,1.5,-,6.61
1165,Diego Moreno,Osasuna, 21, Defender,,,2,180,-,-,-,-,1.5,73.4,0.5,-,6.61
1166,Nabil Fekir,Real Betis, 29, AM(CLR),FW,,8(2),614,1,2,4,1,1.6,85.7,0.4,-,6.61
1167,Fernando,Sevilla, 35, D(C),DMC,,9,742,-,-,2,-,0.1,91.2,0.3,-,6.60
1168,Edu Expósito,Espanyol, 26, M(C),,,11(5),875,2,2,2,-,0.8,76.7,0.7,1,6.60
1169,Joaquín Fernández,Real Valladolid, 26, D(C),DMC,,13(2),1225,1,-,3,-,0.5,83.1,2.1,1,6.60
1170,Iza Carcelén,Cadiz, 29, D(R),,,8(2),700,-,-,1,2,0.3,81.9,0.5,-,6.60
1171,Umar Sadiq,Real Sociedad, 25, FW,,,1(1),83,1,-,-,-,0.5,100,1,-,6.60
1172,Pablo Maffeo,Mallorca, 25, D(R),M(R),,14(1),1228,1,1,3,1,0.5,73.8,0.9,1,6.60
1173,Gonzalo Plata,Real Valladolid, 22, AM(R),,,8(5),776,-,2,-,-,1.2,78.9,0.2,-,6.60
1174,Álex Baena,Villarreal, 21, AM(C),,,7(8),795,4,-,5,1,1.6,80.5,0.1,2,6.60
1175,Iván Martín,Girona, 23, Midfielder,,,3(2),315,2,-,-,-,1,84.3,0.2,-,6.59
1176,Yannick Carrasco,Atletico, 29, M(CLR),FW,,10(5),864,1,-,1,-,1.5,83.5,0.3,-,6.59
1177,Unai Núñez,Celta Vigo, 25, D(C),,,16,1440,-,-,3,-,0.5,88.4,1.8,1,6.59
1178,Óscar Plano,Real Valladolid, 31, AM(CLR),FW,,10(7),1044,1,1,1,-,0.9,77.5,0.9,-,6.58
1179,Sergi Roberto,Barcelona, 30, D(R),M(CR),,4(7),462,2,-,1,-,0.5,93.7,-,-,6.58
1180,Marcão,Sevilla, 26, D(C),,,4,360,-,-,2,-,-,87.6,1.5,-,6.58
1181,Justin Kluivert,Valencia, 23, AM(LR),,,5(7),581,2,-,2,-,1,80.6,0.4,1,6.58
1182,Martin Valjent,Mallorca, 27, D(C),,,15,1336,-,-,7,-,-,82.2,0.8,-,6.58
1183,Aimar Oroz,Osasuna, 21, AM(C),,,11(4),946,3,1,3,-,0.9,78.2,0.5,-,6.57
1184,Gastón Álvarez,Getafe, 22, Defender,,,4(4),475,2,-,1,1,0.3,72.1,1.3,-,6.57
1185,Yangel Herrera,Girona, 25, M(C),,,9(4),681,2,2,2,-,1.3,81.6,0.9,-,6.57
1186,Isco,Sevilla, 30, M(CLR),FW,,10(2),803,-,2,5,-,0.3,86.8,0.4,-,6.57
1187,Saúl Ñíguez,Atletico, 28, D(CL),M(CLR),,6(7),476,-,1,6,-,0.7,78.1,1.3,-,6.57
1188,Joseph Aidoo,Celta Vigo, 27, D(C),,,17,1530,1,-,2,-,0.5,86.1,1.7,1,6.56
1189,Daniel Carvajal,Real Madrid, 31, D(R),,,11(2),936,-,1,3,-,0.5,87.5,0.3,-,6.56
1190,Monchu,Real Valladolid, 23, DMC,,,11(5),892,1,1,5,-,0.9,83,0.3,1,6.56
1191,Yassine Bounou,Sevilla, 31, GK,,,16,1307,-,-,2,-,-,72.3,0.1,1,6.56
1192,Thomas Lemar,Atletico, 27, AM(CLR),,,6(6),499,-,2,-,-,0.2,88.1,0.1,-,6.56
1193,Lucas Vázquez,Real Madrid, 31, D(R),M(R),,4(6),424,2,-,1,-,0.7,89.2,-,-,6.56
1194,Juan Iglesias,Getafe, 24, D(LR),M(R),,12(4),1176,1,-,4,-,0.8,64.9,0.4,-,6.56
1195,Jawad El Yamiq,Real Valladolid, 30, D(C),,,6(4),511,-,-,-,1,0.5,81.5,1.3,-,6.56
1196,Pablo Barrios,Atletico, 19, Midfielder,,,2(2),207,-,-,1,-,1,89.1,0.5,-,6.56
1197,Momo Cho,Real Sociedad, 19, FW,,,3(5),316,-,2,1,-,1.4,75.4,0.1,1,6.56
1198,Eduardo Camavinga,Real Madrid, 20, DMC,,,5(11),547,-,1,2,-,0.6,91.3,0.4,-,6.55
1199,Sergio Akieme,Almeria, 25, D(L),,,17,1530,-,-,3,-,1.1,80.6,0.5,1,6.55
1200,Kike Pérez,Real Valladolid, 25, AM(C),,,12(4),1114,-,1,3,-,1.3,79.9,1.1,-,6.55
1201,Manu Sánchez,Osasuna, 22, D(L),,,6(7),649,-,1,-,-,0.4,84,0.4,-,6.55
1202,Adrián Embarba,Espanyol, 30, AM(CLR),FW,,0(1),34,-,-,-,-,2,75,-,-,6.55
1203,Yunus Musah,Valencia, 20, AM(CR),,,12(1),996,-,2,7,-,0.8,83.2,0.7,-,6.55
1204,Koke,Atletico, 31, M(CLR),,,10(3),873,-,2,2,-,0.3,85,0.3,-,6.55
1205,Hugo Guillamón,Valencia, 22, D(C),DMC,,12(3),976,1,4,4,-,0.2,84.7,0.9,-,6.54
1206,Unai Simón,Athletic Bilbao, 25, GK,,,17,1530,-,-,1,-,-,69.5,-,1,6.54
1207,Aitor Ruibal,Real Betis, 26, D(R),M(LR),,6(9),654,-,-,1,-,0.5,76.4,0.3,-,6.54
